event,gender,competition,year,round_raw,lane,position,athlete,athlete,athlete,athlete,country,country,country,time_or_mark,reaction_time,reaction_time
100m,F,Olympics,2008,table_8,2,,Sherone Simpson,,,,Jamaica,,,10.98,0.155,
100m,F,Olympics,2008,table_8,7,,Kerron Stewart,,,,Jamaica,,,10.98,0.232,
100m,F,Olympics,2008,table_8,8,4,Lauryn Williams,,,,United States,,,11.03,0.149,
100m,F,Olympics,2008,table_8,5,5,Muna Lee,,,,United States,,,11.07,0.234,
100m,F,Olympics,2008,table_8,9,6,Jeanette Kwakye,,,,Great Britain,,,11.14,0.161,
100m,F,Olympics,2008,table_8,3,7,Debbie Ferguson,,,,Bahamas,,,11.19,0.167,
100m,F,Olympics,2008,table_8,6,8,Torri Edwards,,,,United States,,,11.2,0.179,
200m,M,Olympics,2008,table_5,4,1,Shawn Crawford,,,,United States,,,20.61,0.216,
200m,M,Olympics,2008,table_5,6,2,Marcin Jędrusiński,,,,Poland,,,20.64,0.199,
200m,M,Olympics,2008,table_5,7,3,Stephan Buckland,,,,Mauritius,,,20.98,0.229,
200m,M,Olympics,2008,table_5,1,4,Jiří Vojtík,,,,Czech Republic,,,21.05,0.165,
200m,M,Olympics,2008,table_5,9,5,Fanuel Kenosi,,,,Botswana,,,21.09,0.211,
200m,M,Olympics,2008,table_5,3,6,Adam Harris,,,,Guyana,,,21.36,0.163,
200m,M,Olympics,2008,table_5,5,7,Khalil Al-Hanahneh,,,,Jordan,,,21.55,0.184,
200m,M,Olympics,2008,table_5,2,8,Solomon Bockarie,,,,Sierra Leone,,,22.16,0.216,
200m,M,Olympics,2008,table_6,3,1,Brian Dzingai,,,,Zimbabwe,,,20.25,0.172,
200m,M,Olympics,2008,table_6,5,2,Christian Malcolm,,,,Great Britain,,,20.42,0.178,
200m,M,Olympics,2008,table_6,4,3,Christopher Williams,,,,Jamaica,,,20.53,0.166,
200m,M,Olympics,2008,table_6,8,4,Shinji Takahira,,,,Japan,,,20.58,0.175,
200m,M,Olympics,2008,table_6,2,5,Amr Ibrahim Mostafa Seoud,,,,Egypt,,,20.75,0.172,
200m,M,Olympics,2008,table_6,9,6,Thuso Mpuang,,,,South Africa,,,20.87,0.166,
200m,M,Olympics,2008,table_6,6,7,Daniel Grueso,,,,Colombia,,,21.15,0.232,
200m,M,Olympics,2008,table_6,7,8,Arnaldo Abrantes,,,,Portugal,,,21.46,0.173,
200m,M,Olympics,2008,table_7,8,1,Marlon Devonish,,,,Great Britain,,,20.49,0.157,
200m,M,Olympics,2008,table_7,5,2,Kim Collins,,,,Saint Kitts and Nevis,,,20.55,0.175,
200m,M,Olympics,2008,table_7,7,3,Marvin Anderson,,,,Jamaica,,,20.85,0.175,
200m,M,Olympics,2008,table_7,9,4,Matic Osovnikar,,,,Slovenia,,,20.89,0.189,
200m,M,Olympics,2008,table_7,2,5,Chris Lloyd,,,,Dominica,,,20.9,0.185,
200m,M,Olympics,2008,table_7,6,6,Heber Viera,,,,Uruguay,,,20.93,0.21,
200m,M,Olympics,2008,table_7,4,7,Cristián Reyes,,,,Chile,,,21.2,0.165,
200m,M,Olympics,2008,table_7,3,8,Franklin Nazareno,,,,Ecuador,,,21.26,0.174,
200m,M,Olympics,2008,table_8,5,1,Roman Smirnov,,,,Russia,,,20.76,0.166,
200m,M,Olympics,2008,table_8,3,2,Walter Dix,,,,United States,,,20.77,0.185,
200m,M,Olympics,2008,table_8,9,3,Rolando Palacios,,,,Honduras,,,20.81,0.202,
200m,M,Olympics,2008,table_8,8,4,Ángel David Rodríguez,,,,Spain,,,20.87,0.162,
200m,M,Olympics,2008,table_8,2,5,Bruno de Barros,,,,Brazil,,,21.15,0.162,
200m,M,Olympics,2008,table_8,7,6,Desislav Gunev,,,,Bulgaria,,,21.55,0.178,
200m,M,Olympics,2008,table_8,6,7,Vyacheslav Muravyev,,,,Kazakhstan,,,21.68,0.206,
200m,M,Olympics,2008,table_8,4,8,Nicolai Portelli,,,,Malta,,,22.31,0.18,
200m,M,Olympics,2008,table_9,6,1,Rondel Sorrillo,,,,Trinidad and Tobago,,,20.58,0.193,
200m,M,Olympics,2008,table_9,4,2,Usain Bolt,,,,Jamaica,,,20.64,0.177,
200m,M,Olympics,2008,table_9,2,3,Kristof Beyens,,,,Belgium,,,20.69,0.148,
200m,M,Olympics,2008,table_9,9,4,Marc Schneeberger,,,,Switzerland,,,20.86,0.137,
200m,M,Olympics,2008,table_9,7,5,José Acevedo,,,,Venezuela,,,21.06,0.27,
200m,M,Olympics,2008,table_9,8,6,Ihor Bodrov,,,,Ukraine,,,21.38,0.172,
200m,M,Olympics,2008,table_9,3,7,Mohamad Siraj Tamim,,,,Lebanon,,,21.8,0.206,
200m,M,Olympics,2008,table_9,1,8,Oleg Juravlyov,,,,Uzbekistan,,,22.31,0.145,
200m,M,Olympics,2008,table_9,5,9,Juan Zeledon,,,,Nicaragua,,,23.39,0.173,
200m,M,Olympics,2008,table_10,3,1,Wallace Spearmon,,,,United States,,,20.46,0.184,
200m,M,Olympics,2008,table_10,4,2,Jaysuma Saidy Ndure,,,,Norway,,,20.54,0.161,
200m,M,Olympics,2008,table_10,2,3,Paul Hession,,,,Ireland,,,20.59,0.19,
200m,M,Olympics,2008,table_10,8,4,Seth Amoo,,,,Ghana,,,20.91,0.14,
200m,M,Olympics,2008,table_10,7,5,Ronalds Arājs,,,,Latvia,,,21.22,0.218,
200m,M,Olympics,2008,table_10,5,6,Jayson Jones,,,,Belize,,,21.54,0.162,
200m,M,Olympics,2008,table_10,6,7,Nabie Foday Fofanah,,,,Guinea,,,21.68,0.247,
200m,M,Olympics,2008,table_10,9,,Bryan Barnett,,,,Canada,,,DNF,0.164,
200m,M,Olympics,2008,table_11,6,1,Obinna Metu,,,,Nigeria,,,20.62,0.168,
200m,M,Olympics,2008,table_11,9,2,Ramil Guliyev,,,,Azerbaijan,,,20.78,0.175,
200m,M,Olympics,2008,table_11,8,3,Churandy Martina,,,,Netherlands Antilles,,,20.78,0.172,
200m,M,Olympics,2008,table_11,4,4,Sandro Viana,,,,Brazil,,,20.84,0.159,
200m,M,Olympics,2008,table_11,5,5,Jamial Rolle,,,,Bahamas,,,20.93,0.162,
200m,M,Olympics,2008,table_11,2,6,Shingo Suetsugu,,,,Japan,,,20.93,0.185,
200m,M,Olympics,2008,table_11,7,7,Omar Jouma Bilal Al-Salfa,,,,United Arab Emirates,,,21,0.184,
200m,M,Olympics,2008,table_11,3,,Alexander Nelson,,,,Great Britain,,,DNS,—,
200m,M,Olympics,2008,table_12,6,1,Aaron Armstrong,,,,Trinidad and Tobago,,,20.57,0.183,
200m,M,Olympics,2008,table_12,8,2,Brendan Christian,,,,Antigua and Barbuda,,,20.58,0.164,
200m,M,Olympics,2008,table_12,7,3,Jared Connaughton,,,,Canada,,,20.6,0.146,
200m,M,Olympics,2008,table_12,9,4,Visa Hongisto,,,,Finland,,,20.62,0.145,
200m,M,Olympics,2008,table_12,3,5,Marco Cribari,,,,Switzerland,,,20.98,0.171,
200m,M,Olympics,2008,table_12,2,6,James Dolphin,,,,New Zealand,,,20.98,0.161,
200m,M,Olympics,2008,table_12,5,7,Zhang Peimeng,,,,China,,,21.06,0.15,
200m,M,Olympics,2008,table_12,4,,Samuel Francis,,,,Qatar,,,DNS,—,
200m,M,Olympics,2008,table_13,4,1,Usain Bolt,,,,Jamaica,,,20.29,0.186,
200m,M,Olympics,2008,table_13,7,2,Shawn Crawford,,,,United States,,,20.42,0.198,
200m,M,Olympics,2008,table_13,6,3,Kim Collins,,,,Saint Kitts and Nevis,,,20.43,0.233,
200m,M,Olympics,2008,table_13,5,4,Marlon Devonish,,,,Great Britain,,,20.43,0.146,
200m,M,Olympics,2008,table_13,9,5,Jared Connaughton,,,,Canada,,,20.45,0.151,
200m,M,Olympics,2008,table_13,3,6,Amr Seoud,,,,Egypt,,,20.45,0.151,
200m,M,Olympics,2008,table_13,8,7,Rolando Palacios,,,,Honduras,,,20.87,0.248,
200m,M,Olympics,2008,table_13,2,8,Ángel David Rodríguez,,,,Spain,,,20.96,0.172,
200m,M,Olympics,2008,table_14,4,1,Brian Dzingai,,,,Zimbabwe,,,20.23,0.182,
200m,M,Olympics,2008,table_14,7,2,Walter Dix,,,,United States,,,20.27,0.162,
200m,M,Olympics,2008,table_14,8,3,Christopher Williams,,,,Jamaica,,,20.28,0.159,
200m,M,Olympics,2008,table_14,6,4,Christian Malcolm,,,,Great Britain,,,20.3,0.188,
200m,M,Olympics,2008,table_14,9,5,Stephan Buckland,,,,Mauritius,,,20.37,0.188,
200m,M,Olympics,2008,table_14,5,6,Roman Smirnov,,,,Russia,,,20.62,0.161,
200m,M,Olympics,2008,table_14,3,7,Shinji Takahira,,,,Japan,,,20.63,0.185,
200m,M,Olympics,2008,table_14,2,8,Matic Osovnikar,,,,Slovenia,,,20.95,0.171,
200m,M,Olympics,2008,table_15,5,1,Brendan Christian,,,,Antigua and Barbuda,,,20.26,0.166,
200m,M,Olympics,2008,table_15,8,2,Churandy Martina,,,,Netherlands Antilles,,,20.42,0.155,
200m,M,Olympics,2008,table_15,9,3,Kristof Beyens,,,,Belgium,,,20.5,0.155,
200m,M,Olympics,2008,table_15,6,4,Marcin Jędrusiński,,,,Poland,,,20.58,0.199,
200m,M,Olympics,2008,table_15,4,5,Aaron Armstrong,,,,Trinidad and Tobago,,,20.58,0.155,
200m,M,Olympics,2008,table_15,7,6,Obinna Metu,,,,Nigeria,,,20.65,0.195,
200m,M,Olympics,2008,table_15,2,7,Sandro Viana,,,,Brazil,,,21.07,0.168,
